Specification Category	Requirement ID	Requirement Type	Requirement Description (Detailed)	Building Block/Scope	Priority (P1/P2/P3)	Release Phase	Acceptance Criteria	Dependencies/Tooling (Suggested)	Decision/Conflict Notes
Authentication	AUTH-01.0	Authentication Policy	The system MUST NOT implement traditional LOGIN AUTHENTICATION.	Authentication	P1	Initial Release	No login screen is presented to the user.	N/A	Focus on open access/sharing.
Authentication	AUTH-02.0	Identity Capture	Users MUST be prompted to enter their "name" upon first access.	Authentication	P1	Initial Release	A name input modal/field is displayed only on the first visit.	Cookie Storage	The name is the primary form of identification for saving/sharing.
Authentication	AUTH-03.0	Persistence	The user's name MUST be saved in a COOKIE so they do not need to re-type it every time.	Authentication	P1	Initial Release	User name persists across browser sessions.	Cookie Storage	Enhances user experience.
Authentication	AUTH-04.0	Identity Change	A "Change user" button/menu MUST be provided to allow the user to modify their saved name.	Authentication	P1	Initial Release	User can successfully update their displayed name in the UI.	Frontend UI	Allows identity switching without clearing cookies manually.
Building Block: Function	BB-F-01.0	Functional	A Function MUST accept ONE OR MORE Parameters as input.	Function Logic	P1	Initial Release	Function editor requires at least one parameter connection before saving.	N/A	Defines the relationship/calculation between parameters.
Building Block: Function	BB-F-02.0	Functional	A Function MUST output ONE OR MORE Parameters.	Function Logic	P1	Initial Release	Function editor allows defining multiple output sockets. Python functions returning tuples map to these outputs.	N/A	Allows returning complex results (e.g., vector components).
Building Block: Function	BB-F-03.0	Data Structure	A Function MUST have a "name" which is constrained to be a VALID PYTHON FUNCTION NAME.	Function Data	P1	Initial Release	Input validation blocks non-Python-compliant function names.	Python Naming Conventions	Used for identification and invocation.
Building Block: Function	BB-F-04.0	Data Structure	A Function MUST include a "description" field formatted using MARKDOWN.	Function Data	P1	Initial Release	Description field renders correctly as Markdown in the UI.	Markdown Library	For explanatory text about the function's operation.
Building Block: Function	BB-F-05.0	Execution	Functions MUST be written/implemented by users using PYTHON CODE.	Function Execution	P1	Initial Release	System executes user-provided Python code using `scipy`/`numpy` without error.	Python Backend	This enables access to standard scientific libraries like "scipy" and "numpy".
Building Block: Function	BB-F-06.0	Integration	The system MUST map connected INPUTS (Parameters, Option Nodes) to variables in the Python code.	Function Logic	P1	Initial Release	Variables in the user's Python code (e.g., `x`) correspond to input sockets/connections of the same name.	Code Parsing/Introspection	Ensures the Python code can access the graph data.
Building Block: Constant	BB-P-01.0	Data Structure	A Constant MUST consist of a VALUE which can be either NUMERICAL (Float/Int) or a SELECTION from a list of options (Enum).	Constant Data	P1	Initial Release	User can select the type (Number or Option).	N/A	Arrays/Matrices are NOT supported.
Building Block: Constant	BB-P-03.0	Data Structure	A Constant MUST include a "description" field formatted using MARKDOWN.	Constant Data	P1	Initial Release	Description field renders correctly as Markdown in the UI.	Markdown Library	For explanatory text about the parameter.
Building Block: Constant	BB-P-05.0	Data Structure	A Constant MUST define an "acceptable range" which serves as REQUIREMENTS OR PHYSICAL LIMITATIONS.	Constant Data	P1	Initial Release	System flags or rejects values outside the defined range.	Validation Logic	Used for constraints and validation.
Building Block: Constant	BB-P-06.0	Data Structure	A Constant MUST allow defining a list of OPTIONS (strings) if the type is set to 'Option'.	Constant Data	P1	Initial Release	User can add/remove options.	N/A	Used for logic branching.
Building Block: Input Node	BB-I-01.0	Data Structure	An Input Node MUST represent an EXTERNAL ENTRY POINT for data into the sheet. Can be Numerical or Option type.	Input Node	P1	Initial Release	Distinct visual appearance from Parameters.	N/A	Explicitly defines the API of the sheet.
Building Block: Input Node	BB-I-02.0	Integration	Input Nodes MUST receive values from the TABLE VIEW for local execution.	Input Node	P1	Initial Release	Input Nodes do not store a persistent static value; values are supplied transiently via the UI (Table View) or URL.	N/A	Separates definition from execution state.
